sample_id,source_sample_name,total_n,positive_count,negative_count,symptomatic_positive_count,asymptomatic_positive_count,symptomatic_positive_rate,asymptomatic_positive_rate,symptomatic_negative_count,asymptomatic_negative_count,symptomatic_negative_rate,asymptomatic_negative_rate,positive_rate,contact_edges,average_degree,status
sample_012,company_n3000_sample12_maxpos5pct_work,3000,57,2943,24,33,0.42105263157894735,0.5789473684210527,380,2563,0.1291199456337071,0.8708800543662929,0.019,10355,6.903333333333333,ok
sample_013,company_n3000_sample13_maxpos5pct_work,3000,56,2944,24,32,0.42857142857142855,0.5714285714285714,384,2560,0.13043478260869565,0.8695652173913043,0.018666666666666668,10654,7.102666666666667,ok
sample_014,company_n3000_sample14_maxpos5pct_work,3000,54,2946,22,32,0.4074074074074074,0.5925925925925926,384,2562,0.13034623217922606,0.869653767820774,0.018,11246,7.497333333333334,ok
sample_015,company_n3000_sample15_maxpos5pct_work,3000,52,2948,26,26,0.5,0.5,386,2562,0.1309362279511533,0.8690637720488467,0.017333333333333333,10625,7.083333333333333,ok
sample_016,company_n3000_sample16_maxpos5pct_work,3000,61,2939,26,35,0.4262295081967213,0.5737704918032787,377,2562,0.12827492344334807,0.8717250765566519,0.02033333333333333,10597,7.064666666666667,ok
sample_017,company_n3000_sample17_maxpos5pct_work,3000,57,2943,22,35,0.38596491228070173,0.6140350877192983,394,2549,0.13387699626231736,0.8661230037376826,0.019,10635,7.09,ok
sample_018,company_n3000_sample18_maxpos5pct_work,3000,55,2945,25,30,0.45454545454545453,0.5454545454545454,373,2572,0.1266553480475382,0.8733446519524618,0.018333333333333333,11260,7.506666666666667,ok
sample_019,company_n3000_sample19_maxpos5pct_work,3000,55,2945,26,29,0.4727272727272727,0.5272727272727272,362,2583,0.12292020373514431,0.8770797962648557,0.018333333333333333,10881,7.254,ok
sample_020,company_n3000_sample20_maxpos5pct_work,3000,52,2948,22,30,0.4230769230769231,0.5769230769230769,365,2583,0.12381275440976934,0.8761872455902306,0.017333333333333333,10825,7.216666666666667,ok
sample_021,company_n3000_sample21_maxpos5pct_work,3000,50,2950,17,33,0.34,0.66,377,2573,0.12779661016949154,0.8722033898305085,0.016666666666666666,10843,7.228666666666666,ok
sample_022,company_n3000_sample22_maxpos5pct_work,3000,50,2950,18,32,0.36,0.64,368,2582,0.12474576271186441,0.8752542372881356,0.016666666666666666,10885,7.256666666666667,ok
sample_023,company_n3000_sample23_maxpos5pct_work,3000,58,2942,19,39,0.3275862068965517,0.6724137931034483,367,2575,0.1247450713800136,0.8752549286199864,0.019333333333333334,11098,7.398666666666666,ok
sample_024,company_n3000_sample24_maxpos5pct_work,3000,54,2946,19,35,0.35185185185185186,0.6481481481481481,380,2566,0.12898845892735913,0.8710115410726409,0.018,11361,7.574,ok
sample_025,company_n3000_sample25_maxpos5pct_work,3000,54,2946,21,33,0.3888888888888889,0.6111111111111112,404,2542,0.13713509843856075,0.8628649015614392,0.018,10865,7.243333333333333,ok
sample_026,company_n3000_sample26_maxpos5pct_work,3000,54,2946,22,32,0.4074074074074074,0.5925925925925926,413,2533,0.14019008825526136,0.8598099117447386,0.018,10939,7.292666666666666,ok
sample_027,company_n3000_sample27_maxpos5pct_work,3000,53,2947,18,35,0.33962264150943394,0.660377358490566,378,2569,0.12826603325415678,0.8717339667458432,0.017666666666666667,10634,7.089333333333333,ok
sample_028,company_n3000_sample28_maxpos5pct_work,3000,56,2944,27,29,0.48214285714285715,0.5178571428571429,402,2542,0.13654891304347827,0.8634510869565217,0.018666666666666668,10504,7.002666666666666,ok
sample_029,company_n3000_sample29_maxpos5pct_work,3000,56,2944,24,32,0.42857142857142855,0.5714285714285714,377,2567,0.1280570652173913,0.8719429347826086,0.018666666666666668,10799,7.199333333333334,ok
sample_030,company_n3000_sample30_maxpos5pct_work,3000,56,2944,23,33,0.4107142857142857,0.5892857142857143,391,2553,0.1328125,0.8671875,0.018666666666666668,10951,7.300666666666666,ok
sample_031,company_n3000_sample31_maxpos5pct_work,3000,56,2944,16,40,0.2857142857142857,0.7142857142857143,375,2569,0.12737771739130435,0.8726222826086957,0.018666666666666668,10881,7.254,ok
