n,positive_count,positive_rate,contact_edges,weighted_graph_edges,positive_positive_edges,positive_symptomatic_count,positive_symptomatic_rate,asymptomatic_positive_count,asymptomatic_positive_rate,negative_symptomatic_count,negative_symptomatic_rate,mean_symptom_count_positive,mean_symptom_count_negative,sample_index,sample_dir,group_A_count,group_A_positive_count,group_A_positive_rate,group_B_count,group_B_positive_count,group_B_positive_rate,group_C_count,group_C_positive_count,group_C_positive_rate,group_D_count,group_D_positive_count,group_D_positive_rate
3000.0,54.0,0.018,11361.0,6441.0,116.0,19.0,0.35185185185185186,35.0,0.6481481481481481,380.0,0.12898845892735913,0.5370370370370371,0.14663951120162932,24,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample24_maxpos5pct_work,137,16,0.11678832116788321,262,3,0.011450381679389313,1072,31,0.028917910447761194,1529,4,0.002616088947024199
3000.0,54.0,0.018,10865.0,6022.0,81.0,21.0,0.3888888888888889,33.0,0.6111111111111112,404.0,0.13713509843856075,0.8333333333333334,0.1551255940257977,25,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample25_maxpos5pct_work,196,16,0.08163265306122448,229,5,0.021834061135371178,1064,30,0.02819548872180451,1511,3,0.001985440105890139
3000.0,54.0,0.018,10939.0,6155.0,104.0,22.0,0.4074074074074074,32.0,0.5925925925925926,413.0,0.14019008825526136,0.8518518518518519,0.16259334691106586,26,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample26_maxpos5pct_work,199,20,0.10050251256281408,236,2,0.00847457627118644,1104,29,0.026268115942028984,1461,3,0.002053388090349076
3000.0,53.0,0.017666666666666667,10634.0,5990.0,91.0,18.0,0.33962264150943394,35.0,0.660377358490566,378.0,0.12826603325415678,0.7735849056603774,0.14794706481167288,27,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample27_maxpos5pct_work,152,15,0.09868421052631579,244,3,0.012295081967213115,1021,26,0.025465230166503428,1583,9,0.005685407454200884
3000.0,56.0,0.018666666666666668,10504.0,5966.0,80.0,27.0,0.48214285714285715,29.0,0.5178571428571429,402.0,0.13654891304347827,0.8571428571428571,0.1565896739130435,28,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample28_maxpos5pct_work,175,25,0.14285714285714285,254,2,0.007874015748031496,1089,28,0.025711662075298437,1482,1,0.0006747638326585695
3000.0,56.0,0.018666666666666668,10799.0,6087.0,89.0,24.0,0.42857142857142855,32.0,0.5714285714285714,377.0,0.1280570652173913,0.8392857142857143,0.1484375,29,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample29_maxpos5pct_work,161,22,0.13664596273291926,240,2,0.008333333333333333,1051,27,0.025689819219790674,1548,5,0.003229974160206718
3000.0,56.0,0.018666666666666668,10951.0,6201.0,87.0,23.0,0.4107142857142857,33.0,0.5892857142857143,391.0,0.1328125,0.8392857142857143,0.1514945652173913,30,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample30_maxpos5pct_work,170,23,0.13529411764705881,244,0,0.0,1015,31,0.030541871921182268,1571,2,0.001273074474856779
3000.0,56.0,0.018666666666666668,10881.0,6223.0,84.0,16.0,0.2857142857142857,40.0,0.7142857142857143,375.0,0.12737771739130435,0.5892857142857143,0.1436820652173913,31,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample31_maxpos5pct_work,146,12,0.0821917808219178,245,4,0.0163265306122449,1062,35,0.03295668549905838,1547,5,0.003232062055591467
3000.0,56.0,0.018666666666666668,10931.0,6152.0,97.0,20.0,0.35714285714285715,36.0,0.6428571428571429,359.0,0.12194293478260869,0.6785714285714286,0.13043478260869565,32,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample32_maxpos5pct_work,160,17,0.10625,219,3,0.0136986301369863,1031,32,0.031037827352085354,1590,4,0.0025157232704402514
3000.0,53.0,0.017666666666666667,10746.0,6065.0,72.0,15.0,0.2830188679245283,38.0,0.7169811320754716,410.0,0.13912453342382083,0.5094339622641509,0.16152019002375298,33,openabm_sample_outputs/seed_1/samples_asymptomatic_2of3/company_n3000_sample33_maxpos5pct_work,177,14,0.07909604519774012,248,1,0.004032258064516129,1122,31,0.027629233511586453,1453,7,0.004817618719889883
